city_name,country,city_lat,city_lon,population,max_temp_raw,max_temp,cell_idx,time_idx,timestamp,lat,lon,continent
Turpan,China,42.9353754,89.1650378,651853,324.76324462890625,51.61324462890627,910528,21986,1957-07-11T09:00:00.000000000,42.84709930419922,89.06666564941406,Asia
An Nasiriyah,Iraq,31.0429488,46.2675529,451547,324.55645751953125,51.40645751953127,1416638,4531,1951-07-21T12:00:00.000000000,31.10720443725586,46.38954925537109,Asia
Ash Shatrah,Iraq,31.4175255,46.1772225,161949,324.38970947265625,51.23970947265627,1403203,4531,1951-07-21T12:00:00.000000000,31.388399124145508,46.28878402709961,Asia
Dezful,Iran,32.3803866,48.4700024,315482,324.2973937988281,51.14739379882815,1356707,27811,1959-07-09T12:00:00.000000000,32.372581481933594,48.38592147827149,Asia
Al Kut,Iraq,32.4907158,45.8303702,321521,324.061767578125,50.91176757812502,1350104,4531,1951-07-21T12:00:00.000000000,32.513179779052734,45.98540115356445,Asia
Al Amarah,Iraq,31.8416081,47.1511682,345007,323.9999694824219,50.8499694824219,1379854,4531,1951-07-21T12:00:00.000000000,31.880491256713867,47.00360870361328,Asia
Ahvaz,Iran,31.2819345,48.7180671,996000,323.8765869140625,50.72658691406252,1409934,48459,1966-08-02T12:00:00.000000000,31.247802734375,48.64285659790039,Asia
Al Jahra,Kuwait,29.3374715,47.6580623,194193,323.8734130859375,50.72341308593752,1498600,7611,1952-08-09T12:00:00.000000000,29.420034408569336,47.80600357055664,Asia
Kuwait City,Kuwait,29.3716635,47.9763553,2063000,323.8734130859375,50.72341308593752,1498600,7611,1952-08-09T12:00:00.000000000,29.420034408569336,47.80600357055664,Asia
Abadan,Iran,30.3307442,48.2796781,370180,323.8059387207031,50.65593872070315,1450522,48459,1966-08-02T12:00:00.000000000,30.404216766357425,48.38028335571289,Asia
Larkana,Pakistan,27.561766,68.2067822,364033,323.77801513671875,50.62801513671877,1597321,12898,1954-06-01T09:00:00.000000000,27.451669692993164,68.15436553955078,Asia
Basra,Iraq,30.5154696,47.8116108,870000,323.7413635253906,50.59136352539065,1450517,7611,1952-08-09T12:00:00.000000000,30.404216766357425,47.85211181640625,Asia
Az Aubayr,Iraq,30.3891644,47.7079817,262219,323.7413635253906,50.59136352539065,1450517,7611,1952-08-09T12:00:00.000000000,30.404216766357425,47.85211181640625,Asia
Hawalli,Kuwait,29.33334,47.9999976,164212,323.70233154296875,50.55233154296877,1502065,7611,1952-08-09T12:00:00.000000000,29.34973526000977,47.85467147827149,Asia
Nawabshah,Pakistan,26.245438,68.4000004,229504,323.5638732910156,50.41387329101565,1665965,12906,1954-06-02T09:00:00.000000000,26.115991592407227,68.3132553100586,Asia
As Samawah,Iraq,31.3098576,45.2802746,174978,323.43243408203125,50.28243408203127,1409904,4539,1951-07-22T12:00:00.000000000,31.247802734375,45.42856979370117,Asia
Sukkur,Pakistan,27.7135655,68.8485518,417767,323.35028076171875,50.20028076171877,1590185,12890,1954-05-31T09:00:00.000000000,27.592266082763672,68.71076202392578,Asia
Dera Ghazi Khan,Pakistan,30.060399,70.6350577,236093,323.188720703125,50.03872070312502,1460972,15842,1955-06-04T09:00:00.000000000,30.193321228027344,70.7368392944336,Asia
Multan,Pakistan,30.2019229,71.4530618,1522000,323.1725769042969,50.0225769042969,1471252,15842,1955-06-04T09:00:00.000000000,29.98242378234864,71.32867431640625,Asia
Najaf,Iraq,32.0003323,44.3353711,665552,323.090576171875,49.94057617187502,1376510,45522,1965-07-31T09:00:00.000000000,31.95079040527344,44.45783233642578,Asia
Bandar-e-Abbas,Iran,27.2040598,56.2721355,461499,323.0469970703125,49.89699707031252,1615125,7147,1952-06-12T12:00:00.000000000,27.100175857543945,56.16240310668945,Asia
Mandali,Iraq,33.7436109,45.5463566,29785,322.7898864746094,49.6398864746094,1294808,4531,1951-07-21T12:00:00.000000000,33.70825958251953,45.61490631103516,Asia
Ad Diwaniyah,Iraq,31.9889376,44.9239656,358408,322.7364196777344,49.5864196777344,1369884,45522,1965-07-31T09:00:00.000000000,32.09138870239258,44.78260803222656,Asia
Baqubah,Iraq,33.7476416,44.6572635,299479,322.7211303710937,49.57113037109377,1288371,54219,1968-07-22T12:00:00.000000000,33.84885787963867,44.71979904174805,Asia
Baghdad,Iraq,33.3405944,44.3919229,5054000,322.67236328125,49.52236328125002,1307702,51427,1967-08-08T12:00:00.000000000,33.42706298828125,44.276885986328125,Asia
Dera Ismail Khan,Pakistan,31.828999,70.8985559,101616,322.657470703125,49.50747070312502,1386729,48042,1966-06-11T09:00:00.000000000,31.739892959594727,70.98439025878906,Asia
Al Hillah,Iraq,32.4721381,44.4217224,594605,322.5766906738281,49.42669067382815,1356672,45522,1965-07-31T09:00:00.000000000,32.372581481933594,44.563106536865234,Asia
Masjed Soleyman,Iran,31.9799976,49.2999259,153663,322.394287109375,49.24428710937502,1379874,27811,1959-07-09T12:00:00.000000000,31.880491256713867,49.16967391967773,Asia
Bahawalpur,Pakistan,29.3899748,71.6749943,552607,322.3885803222656,49.23858032226565,1495368,15842,1955-06-04T09:00:00.000000000,29.490333557128903,71.58381652832031,Asia
Karbala,Iraq,32.6149201,44.0244856,510692,322.3677062988281,49.21770629882815,1346803,51426,1967-08-08T09:00:00.000000000,32.58348083496094,44.177833557128906,Asia
Guliston,Uzbekistan,40.495731,68.7907259,95520,322.2356262207031,49.08562622070315,1004446,13354,1954-07-28T09:00:00.000000000,40.456939697265625,68.8011245727539,Asia
Sahiwal,Pakistan,30.6717312,73.1118058,235695,322.20751953125,49.05751953125002,1440553,4010,1951-05-17T09:00:00.000000000,30.615114212036133,73.03887176513672,Asia
