city_name,country,city_lat,city_lon,population,max_temp_raw,max_temp,cell_idx,time_idx,timestamp,lat,lon
Abadan,Iran,30.3307442,48.2796781,370180,332.54840087890625,59.39840087890627,1453930,36731,2092-07-27T12:00:00.000000000,30.33391761779785,48.32356262207031
Najaf,Iraq,32.0003323,44.3353711,665552,332.5313415527344,59.3813415527344,1379830,16299,2085-07-30T12:00:00.000000000,31.880491256713867,44.40433120727539
Ad Diwaniyah,Iraq,31.9889376,44.9239656,358408,332.5072326660156,59.35723266601565,1376513,16291,2085-07-29T12:00:00.000000000,31.950790405273438,44.78313064575195
Al Musayyib,Iraq,32.778631,44.2899991,76454,332.448486328125,59.29848632812502,1336975,16299,2085-07-30T12:00:00.000000000,32.794376373291016,44.3398551940918
Al Hillah,Iraq,32.4721381,44.4217224,594605,332.4340515136719,59.2840515136719,1356670,16299,2085-07-30T12:00:00.000000000,32.372581481933594,44.344661712646484
Ahvaz,Iran,31.2819345,48.7180671,996000,332.430419921875,59.28041992187502,1406579,36731,2092-07-27T12:00:00.000000000,31.31810188293457,48.80810546875
Baghdad,Iraq,33.3405944,44.3919229,5054000,332.4212341308594,59.2712341308594,1317425,16299,2085-07-30T12:00:00.000000000,33.21616744995117,44.4458122253418
Karbala,Iraq,32.6149201,44.0244856,510692,332.36199951171875,59.21199951171877,1346802,16299,2085-07-30T12:00:00.000000000,32.58348083496094,44.06821060180664
Kuwait City,Kuwait,29.3716635,47.9763553,2063000,332.2771301269531,59.12713012695315,1498600,36731,2092-07-27T12:00:00.000000000,29.420034408569336,47.80600357055664
Al Jahra,Kuwait,29.3374715,47.6580623,194193,332.2771301269531,59.12713012695315,1498600,36731,2092-07-27T12:00:00.000000000,29.420034408569336,47.80600357055664
Basra,Iraq,30.5154696,47.8116108,870000,332.1695556640625,59.01955566406252,1450518,36731,2092-07-27T12:00:00.000000000,30.404216766357422,47.95774459838867
Az Aubayr,Iraq,30.3891644,47.7079817,262219,332.1610412597656,59.01104125976565,1450517,36731,2092-07-27T12:00:00.000000000,30.404216766357422,47.85211181640625
As Samawah,Iraq,31.3098576,45.2802746,174978,332.1092224121094,58.9592224121094,1406545,16291,2085-07-29T12:00:00.000000000,31.31810188293457,45.16090774536133
An Nasiriyah,Iraq,31.0429488,46.2675529,451547,332.06317138671875,58.91317138671877,1423379,36723,2092-07-26T12:00:00.000000000,30.96660804748535,46.38625717163086
Hawalli,Kuwait,29.33334,47.9999976,164212,332.0334777832031,58.88347778320315,1502065,36731,2092-07-27T12:00:00.000000000,29.349735260009766,47.854671478271484
Al Fallujah,Iraq,33.347666,43.7772656,231819,331.9542541503906,58.80425415039065,1317420,16299,2085-07-30T12:00:00.000000000,33.21616744995117,43.891624450683594
Baqubah,Iraq,33.7476416,44.6572635,299479,331.95001220703125,58.80001220703127,1294799,16299,2085-07-30T12:00:00.000000000,33.70825958251953,44.60869598388672
Al Amarah,Iraq,31.8416081,47.1511682,345007,331.8514099121094,58.7014099121094,1376534,36699,2092-07-23T12:00:00.000000000,31.950790405273438,47.06024169921875
Ash Shatrah,Iraq,31.4175255,46.1772225,161949,331.81085205078125,58.66085205078127,1403203,16291,2085-07-29T12:00:00.000000000,31.388399124145508,46.28878402709961
Samarra,Iraq,34.193997,43.8750006,158508,331.77764892578125,58.62764892578127,1278751,16299,2085-07-30T12:00:00.000000000,34.05975341796875,43.98749923706055
Al Kut,Iraq,32.4907158,45.8303702,321521,331.5478820800781,58.39788208007815,1356683,16323,2085-08-02T12:00:00.000000000,32.372581481933594,45.764564514160156
Dezful,Iran,32.3803866,48.4700024,315482,331.51177978515625,58.36177978515627,1356707,36731,2092-07-27T12:00:00.000000000,32.372581481933594,48.385921478271484
Ar Ramadi,Iraq,33.420013,43.2999821,295121,330.9250793457031,57.77507934570315,1310930,16299,2085-07-30T12:00:00.000000000,33.35676574707031,43.33333206176758
Tikrit,Iraq,34.5970471,43.6769616,56591,330.9039001464844,57.7539001464844,1253289,16299,2085-07-30T12:00:00.000000000,34.62214279174805,43.75
Dera Ghazi Khan,Pakistan,30.060399,70.6350577,236093,330.85675048828125,57.70675048828127,1471245,33322,2091-05-28T09:00:00.000000000,29.982423782348633,70.59440612792969
Mandali,Iraq,33.7436109,45.5463566,29785,330.6244812011719,57.4744812011719,1291591,16291,2085-07-29T12:00:00.000000000,33.77855682373047,45.55970001220703
Larkana,Pakistan,27.561766,68.2067822,364033,330.34368896484375,57.19368896484377,1593749,33346,2091-05-31T09:00:00.000000000,27.5219669342041,68.23068237304688
Multan,Pakistan,30.2019229,71.4530618,1522000,330.27069091796875,57.12069091796877,1467824,33322,2091-05-28T09:00:00.000000000,30.052722930908203,71.41190338134766
Jhang,Pakistan,31.2803762,72.3249804,341210,330.2397766113281,57.08977661132815,1403445,33322,2091-05-28T09:00:00.000000000,31.388399124145508,72.27923583984375
Sukkur,Pakistan,27.7135655,68.8485518,417767,329.9623107910156,56.81231079101565,1579503,33346,2091-05-31T09:00:00.000000000,27.803163528442383,68.74015808105469
Masjed Soleyman,Iran,31.9799976,49.2999259,153663,329.84014892578125,56.69014892578127,1379874,36731,2092-07-27T12:00:00.000000000,31.880491256713867,49.169673919677734
Dera Ismail Khan,Pakistan,31.828999,70.8985559,101616,329.749755859375,56.59975585937502,1376754,33322,2091-05-28T09:00:00.000000000,31.950790405273438,70.91566467285156
Turpan,China,42.9353754,89.1650378,651853,329.6542663574219,56.5042663574219,910528,36762,2092-07-31T09:00:00.000000000,42.84709930419922,89.06666564941406
Kirkuk,Iraq,35.4722392,44.3922668,601433,329.4371643066406,56.28716430664065,1218704,16298,2085-07-30T09:00:00.000000000,35.39543151855469,44.25096130371094
Sahiwal,Pakistan,30.6717312,73.1118058,235695,329.43292236328125,56.28292236328127,1440553,33330,2091-05-29T09:00:00.000000000,30.615114212036133,73.03887176513672
Faisalabad,Pakistan,31.4119266,73.1080513,2617000,329.42669677734375,56.27669677734377,1406805,33330,2091-05-29T09:00:00.000000000,31.31810188293457,73.05125427246094
Turbat,Pakistan,25.9917843,63.0717985,147791,329.22332763671875,56.07332763671877,1673220,30555,2090-06-16T12:00:00.000000000,25.97539520263672,62.95082092285156
Mosul,Iraq,36.3469483,43.1430586,1316000,329.2104187011719,56.0604187011719,1178440,16307,2085-07-31T12:00:00.000000000,36.3093147277832,43.125
Qasr-e Shirin,Iran,34.5123753,45.5772074,11202,329.120849609375,55.97084960937502,1256473,16291,2085-07-29T12:00:00.000000000,34.55184555053711,45.510719299316406
Bahawalpur,Pakistan,29.3899748,71.6749943,552607,328.9555969238281,55.80559692382815,1495368,33330,2091-05-29T09:00:00.000000000,29.490333557128906,71.58381652832031
Peshawar,Pakistan,34.006962,71.5330569,1303000,328.79388427734375,55.64388427734377,1282197,30610,2090-06-23T09:00:00.000000000,33.98945617675781,71.57303619384766
Bannu,Pakistan,32.9889799,70.5985742,622419,328.7347717285156,55.58477172851565,1333946,30610,2090-06-23T09:00:00.000000000,32.86467361450195,70.72215270996094
Nawabshah,Pakistan,26.245438,68.4000004,229504,328.7234802246094,55.5734802246094,1658671,30530,2090-06-13T09:00:00.000000000,26.256589889526367,68.26564025878906
Yuma,United States of America,32.6852775,-114.6236084,92489,328.6394348144531,55.48943481445315,1342077,33782,2091-07-24T21:00:00.000000000,32.72407531738281,245.38461303710938
Kundian,Pakistan,32.452191,71.4718025,35406,328.5677795410156,55.41777954101565,1350337,33314,2091-05-27T09:00:00.000000000,32.513179779052734,71.49635314941406
Okara,Pakistan,30.8104049,73.450028,223648,328.5528259277344,55.4028259277344,1427009,33330,2091-05-29T09:00:00.000000000,30.89630889892578,73.38461303710938
Chiniot,Pakistan,31.7199876,72.9799792,201781,328.5035400390625,55.35354003906252,1386746,33330,2091-05-29T09:00:00.000000000,31.739892959594727,72.82112884521484
El Centro,United States of America,32.7923769,-115.5580475,45000,328.4940185546875,55.34401855468752,1342069,33782,2091-07-24T21:00:00.000000000,32.72407531738281,244.5054931640625
Mexicali,Mexico,32.6519284,-115.481962,885000,328.4940185546875,55.34401855468752,1342069,33782,2091-07-24T21:00:00.000000000,32.72407531738281,244.5054931640625
Al Ahmadi,Kuwait,29.0769448,48.0837727,68763,328.4913635253906,55.34136352539065,1515965,30883,2090-07-27T12:00:00.000000000,29.068540573120117,48.048221588134766
Needles,United States of America,34.8484271,-114.6133507,6974,328.40203857421875,55.25203857421877,1242421,30815,2090-07-19T00:00:00.000000000,34.90333938598633,245.4441680908203
Sargodha,Pakistan,32.0853658,72.6749849,542603,328.3871154785156,55.23711547851565,1376769,33330,2091-05-29T09:00:00.000000000,31.950790405273438,72.54216766357422
Abu Kamal,Syria,34.4504153,40.9186287,80808,328.34320068359375,55.19320068359377,1259605,16299,2085-07-30T12:00:00.000000000,34.481544494628906,40.919395446777344
Dammam,Saudi Arabia,26.4301376,50.0977245,2054710,328.33795166015625,55.18795166015627,1654845,7594,2082-08-07T09:00:00.000000000,26.326889038085938,49.94505310058594
Hafar al Batin,Saudi Arabia,28.4336507,45.9600781,249194,328.3310852050781,55.18108520507815,1543933,30979,2090-08-08T12:00:00.000000000,28.50615119934082,45.972694396972656
Behbehan,Iran,30.5818142,50.2614693,85707,328.329345703125,55.17934570312502,1443734,30867,2090-07-25T12:00:00.000000000,30.544815063476562,50.188236236572266
Irbil,Iraq,36.1809895,44.0066751,926000,328.2845458984375,55.13454589843752,1187676,16299,2085-07-30T12:00:00.000000000,36.098419189453125,43.89105224609375
Balkanabat,Turkmenistan,39.5123802,54.3649397,110827,328.2372131347656,55.08721313476565,1047301,25011,2088-07-23T12:00:00.000000000,39.40245819091797,54.323204040527344
Gonbad-e Kavus,Iran,37.2518205,55.1714538,159982,328.2337951660156,55.08379516601565,1132933,25011,2088-07-23T12:00:00.000000000,37.36379623413086,55.09960174560547
Doha,Qatar,25.286556,51.5329679,1450000,328.1982421875,55.04824218750002,1721002,36707,2092-07-24T12:00:00.000000000,25.06151008605957,51.40086364746094
Sadiqabad,Pakistan,28.3006356,70.1302307,189876,328.1877136230469,55.0377136230469,1551205,33330,2091-05-29T09:00:00.000000000,28.36555290222168,69.977294921875
Rahim Yar Khan,Pakistan,28.4202407,70.2951818,353203,328.1415710449219,54.9915710449219,1544171,33330,2091-05-29T09:00:00.000000000,28.50615119934082,70.34129333496094
Tall Afar,Iraq,36.3759825,42.4497497,144465,328.13092041015625,54.98092041015627,1178433,16307,2085-07-31T12:00:00.000000000,36.3093147277832,42.3046875
Mardan,Pakistan,34.2000429,72.0399849,300424,328.1106872558594,54.9606872558594,1275803,30538,2090-06-14T09:00:00.000000000,34.13005065917969,71.97747039794922
Sheikhu Pura,Pakistan,31.7199876,73.9899951,361303,328.01812744140625,54.86812744140627,1393425,33330,2091-05-29T09:00:00.000000000,31.59929656982422,73.83233642578125
Buzmeyin,Turkmenistan,38.0516683,58.210028,40813,327.9977722167969,54.8477722167969,1103052,36722,2092-07-26T09:00:00.000000000,38.0667839050293,58.14266586303711
Ibri,Oman,23.2253898,56.5169531,101640,327.9947814941406,54.84478149414065,1822699,7211,2082-06-20T12:00:00.000000000,23.16344451904297,56.450260162353516
Ashgabat,Turkmenistan,37.9499949,58.3832991,727700,327.9361877441406,54.78618774414065,1106026,36722,2092-07-26T09:00:00.000000000,37.996482849121094,58.30644989013672
