city_name,country,city_lat,city_lon,population,max_wind_raw,max_wind,cell_idx,time_idx,timestamp,lat,lon,continent
Saint John's,Antigua and Barbuda,17.1180365,-61.8500338,35499,45.242801666259766,162.87408599853515,2164525,48768,1966-09-10T03:00:00.000000000,17.18804931640625,298.125,North America
St.-Denis,France,-20.8788948,55.4480778,190047,44.34274673461914,159.6338882446289,4653962,41219,1964-02-09T12:00:00.000000000,-20.98418235778809,55.31439971923828,Europe
Casey Station,Antarctica,-66.2860861,110.536214,200,39.53140258789063,142.31304931640625,6365528,22156,1957-08-01T15:00:00.000000000,-66.256591796875,110.52631378173828,Antarctica
Wilmington,United States of America,34.2255194,-77.9450204,161560,39.15559768676758,140.96015167236328,1277669,1635,1950-07-24T12:00:00.000000000,34.13005065917969,282.1651916503906,North America
Sasebo,Japan,33.1631295,129.7177046,237444,39.04484176635742,140.56143035888672,1324696,31190,1960-09-03T21:00:00.000000000,33.07556915283203,129.58230590820312,Asia
Agana,Guam,13.4700163,144.750017,122411,38.764381408691406,139.55177307128906,2380094,5280,1951-10-23T03:00:00.000000000,13.602811813354492,144.6929473876953,Oceania
Showa Station,Antarctica,-69.0303925,39.7460831,60,38.5419921875,138.751171875,6416841,13406,1954-08-03T21:00:00.000000000,-69.06853485107422,39.63576126098633,Antarctica
St.-Benoit,France,-21.0335107,55.7128161,35310,38.19878387451172,137.5156219482422,4657909,32762,1961-03-19T09:00:00.000000000,-21.054481506347656,55.64466857910156,Europe
Kulusuk,Greenland,65.566578,-37.1833224,286,38.00102615356445,136.80369415283204,248327,40622,1963-11-26T21:00:00.000000000,65.55360412597656,322.9261474609375,North America
Moroni,Comoros,-11.7041577,43.2402441,128698,37.7078857421875,135.748388671875,4098173,34501,1961-10-22T18:00:00.000000000,-11.704745292663574,43.228981018066406,Africa
Gen. O'Higgins Base,Antarctica,-63.3284182,-57.8895935,44,37.67314910888672,135.6233367919922,6306861,48240,1966-07-06T03:00:00.000000000,-63.37434005737305,301.9582214355469,Antarctica
Tasiilaq,Greenland,65.6018693,-37.6337371,1829,37.39136505126953,134.60891418457032,248325,26939,1959-03-22T12:00:00.000000000,65.55360412597656,322.4147644042969,North America
Keelung,Taiwan,25.1332579,121.7332824,500000,36.75594329833984,132.32139587402344,1714313,54669,1968-09-16T18:00:00.000000000,25.20210838317871,121.7818603515625,Asia
Taipei,Taiwan,25.0358333,121.5683333,6900273,36.75594329833984,132.32139587402344,1714313,54669,1968-09-16T18:00:00.000000000,25.20210838317871,121.7818603515625,Asia
Dumont d'Urville Station,Antarctica,-66.7750509,139.9636836,120,35.98579788208008,129.5488723754883,6376460,45486,1965-07-26T21:00:00.000000000,-66.81897735595703,140.11976623535156,Antarctica
Mawson Station,Antarctica,-67.6145203,62.8750007,60,35.8676643371582,129.12359161376955,6390642,9906,1953-05-23T09:00:00.000000000,-67.5922622680664,62.97213745117188,Antarctica
Nassau,The Bahamas,25.0833901,-77.3500438,227940,35.829288482666016,128.98543853759767,1723385,19184,1956-07-26T03:00:00.000000000,25.06151008605957,282.5107727050781,North America
Novolazarevskaya Station,Antarctica,-71.3012347,-11.8502129,70,35.71226119995117,128.56414031982422,6454425,41959,1964-05-12T00:00:00.000000000,-71.31809997558594,348.3333435058594,Antarctica
