city_name,country,city_lat,city_lon,population,max_wind_raw,max_wind,cell_idx,time_idx,timestamp,lat,lon,continent
Nagasaki,Japan,32.7649884,129.8850329,435455,48.80888748168945,175.71199493408204,1344302,25459,2088-09-17T12:00:00.000000000,32.653778076171875,129.73170471191406,Asia
Navsari,India,20.8503927,72.9200345,163000,46.05345916748047,165.7924530029297,1955024,9959,2083-05-30T00:00:00.000000000,20.773286819458008,72.80081176757812,Asia
Diu,India,20.7196733,70.990395,23779,45.281734466552734,163.01424407958984,1958961,9957,2083-05-29T18:00:00.000000000,20.70298767089844,71.0,Asia
Busan,South Korea,35.0969988,129.0081017,3480000,44.18022155761719,159.04879760742188,1228830,28316,2089-09-09T15:00:00.000000000,35.184532165527344,129.2602081298828,Asia
Ulsan,South Korea,35.5486766,129.315008,1061000,41.4102897644043,149.07704315185546,1222568,28316,2089-09-09T15:00:00.000000000,35.325130462646484,129.36061096191406,Asia
Jeju,South Korea,33.5101367,126.5219307,408364,40.40748977661133,145.4669631958008,1298753,19544,2086-09-09T03:00:00.000000000,33.637962341308594,126.5136489868164,Asia
St.-Denis,France,-20.8788948,55.4480778,190047,39.24382781982422,141.27778015136718,4653964,23568,2088-01-25T03:00:00.000000000,-20.98418235778809,55.49695587158203,Europe
Daman,India,20.4170083,72.850013,39737,38.3050422668457,137.89815216064454,1974848,9959,2083-05-30T00:00:00.000000000,20.42179298400879,72.79678344726562,Asia
Casey Station,Antarctica,-66.2860861,110.536214,200,38.19273376464844,137.49384155273438,6365528,21432,2087-05-03T03:00:00.000000000,-66.256591796875,110.52631378173828,Antarctica
Portsmouth,United Kingdom,50.8003475,-1.0800222,442252,37.65354537963867,135.55276336669922,635018,32266,2091-01-16T09:00:00.000000000,50.72056198120117,359.0408630371094,Europe
St.-Benoit,France,-21.0335107,55.7128161,35310,37.524539947509766,135.08834381103517,4657909,6062,2082-01-27T21:00:00.000000000,-21.054481506347656,55.64466857910156,Europe
Showa Station,Antarctica,-69.0303925,39.7460831,60,37.2234001159668,134.00424041748047,6416842,31026,2090-08-14T09:00:00.000000000,-69.06853485107422,39.93377304077149,Antarctica
Onslow,Australia,-21.6575935,115.0962959,573,35.974483489990234,129.50814056396484,4689958,35092,2092-01-04T15:00:00.000000000,-21.61687088012696,115.1484146118164,Oceania
Kulusuk,Greenland,65.566578,-37.1833224,286,35.921363830566406,129.31690979003906,248327,89,2080-01-12T06:00:00.000000000,65.55360412597656,322.9261474609375,North America
Shantou,China,23.3719522,116.6680797,1601000,35.66008758544922,128.3763153076172,1823338,30940,2090-08-03T15:00:00.000000000,23.16344451904297,116.67015838623048,Asia
Miyazaki,Japan,31.9182442,131.418376,324384,35.54213333129883,127.95167999267578,1383960,22675,2087-10-05T12:00:00.000000000,31.810192108154297,131.53846740722656,Asia
Naha,Japan,26.2071717,127.6729716,905238,35.47088623046875,127.6951904296875,1662919,7994,2082-09-26T09:00:00.000000000,26.1862907409668,127.79605102539062,Asia
Neumayer Station III,Antarctica,-70.8903967,-7.838438,40,35.44767379760742,127.61162567138672,6447896,18929,2086-06-24T06:00:00.000000000,-70.89630889892578,352.1739196777344,Antarctica
Eldorado,Mexico,24.3304645,-107.3699943,17365,35.42169570922852,127.51810455322266,1764159,8266,2082-10-30T09:00:00.000000000,24.288225173950195,252.555908203125,North America
