city_name,country,city_lat,city_lon,population,max_temp_ctrl,max_temp_ssp,temp_diff,timestamp_ctrl,timestamp_ssp,time_idx_ctrl,time_idx_ssp,cell_idx_ctrl,cell_idx_ssp,lat_ctrl,lon_ctrl,lat_ssp,lon_ssp
Matočkin Šar,Russia,73.2699916,56.4496968,10,12.574273681640648,30.080102539062523,17.505828857421875,1963-07-18T12:00:00.000000000,2088-07-09T12:00:00.000000000,39571,24899,116756,117724,73.28646087646484,56.528926849365234,73.2161636352539,56.296295166015625
Kassel,Germany,51.3000069,9.5000297,289924,32.92571411132815,46.62505493164065,13.6993408203125,1958-07-27T12:00:00.000000000,2090-08-04T12:00:00.000000000,25035,30947,610531,617178,51.42354965209961,9.60216999053955,51.21265411376953,9.38848876953125
Schwerin,Germany,53.6333041,11.4166986,96641,33.14840087890627,46.81734619140627,13.6689453125,1951-06-29T15:00:00.000000000,2090-08-04T12:00:00.000000000,4356,30947,543950,541866,53.60280990600586,11.379310607910156,53.67311096191406,11.401151657104492
Magdeburg,Germany,52.1304214,11.6200036,229826,34.81463012695315,48.22133789062502,13.406707763671875,1958-07-27T12:00:00.000000000,2090-08-04T12:00:00.000000000,25035,30947,588642,588642,52.12653732299805,11.60221004486084,52.12653732299805,11.60221004486084
Kremenchuk,Ukraine,49.0835272,33.4296285,232742,36.32479248046877,49.65117797851565,13.326385498046875,1951-08-24T12:00:00.000000000,2089-08-06T12:00:00.000000000,4803,28043,683458,685799,49.17398834228516,33.53845977783203,49.10369110107422,33.63481140136719
Rostock,Germany,54.0703805,12.1499971,203080,33.49727783203127,46.71953735351565,13.222259521484375,1956-08-03T12:00:00.000000000,2090-08-04T12:00:00.000000000,19251,30947,533573,533573,53.95430374145508,12.011605262756348,53.95430374145508,12.011605262756348
Göttingen,Germany,51.5204328,9.920004,139419,33.36394653320315,46.58159790039065,13.2176513671875,1955-08-02T15:00:00.000000000,2090-08-04T12:00:00.000000000,16316,30947,603921,610532,51.63444519042969,9.981818199157717,51.42354965209961,9.764918327331545
Kirovohrad,Ukraine,48.5040536,32.2602941,249454,36.0313659667969,49.18901977539065,13.15765380859375,1956-07-18T12:00:00.000000000,2089-08-06T12:00:00.000000000,19123,28043,707034,707033,48.47100067138672,32.369747161865234,48.47100067138672,32.21848678588867
Gießen,Germany,50.5837199,8.650004,82358,33.48684082031252,46.6220642089844,13.135223388671875,1956-08-11T15:00:00.000000000,2090-08-04T15:00:00.000000000,19316,30948,637335,637335,50.57996368408203,8.761061668395996,50.57996368408203,8.761061668395996
Hamburg,Germany,53.5519705,9.9980533,1757000,34.0012145996094,47.09871826171877,13.097503662109375,1958-07-27T12:00:00.000000000,2090-08-04T15:00:00.000000000,25035,30948,550219,541856,53.39191436767578,10.114285469055176,53.67311096191406,9.673704147338867
